Stock Name:00001
Best Bid Price:24.23
Best Ask Price:24.55
Last Trade Price:23.81
Bid orders
017-00010 10.15 70
039-00009 12.11 40
085-00002 13.11 70
052-00003 13.29 50
001-00008 13.33 30
013-00007 14.55 80
092-00007 14.95 10
026-00005 15.66 70
028-00002 16.89 20
097-00010 16.91 80
086-00006 17.16 60
019-00009 17.39 10
008-00010 17.96 20
051-00007 18.39 60
024-00004 18.68 70
000-00009 20.32 60
022-00003 20.52 20
048-00003 22.7 60
033-00003 23.05 40
015-00003 24.23 70
Ask orders
087-00004 48.51 50
054-00008 48.31 10
036-00010 47.57 20
005-00009 47.32 70
066-00003 47.04 40
056-00008 46.86 50
002-00003 46.03 70
007-00005 44.82 80
025-00005 44.27 50
059-00010 43.92 20
006-00008 43.76 80
016-00005 41.97 70
055-00006 41.64 60
049-00010 40.26 40
009-00009 36.66 20
064-00006 35.48 10
091-00010 34.8 20
063-00007 30.81 70
018-00008 30.42 20
023-00006 28.77 50
095-00008 27.75 30
075-00004 27.72 30
050-00003 27.17 40
093-00007 26.81 30
089-00002 26.8 50
041-00002 26.68 30
082-00005 26.28 70
099-00005 24.7 30
071-00002 24.55 20
